项目名称,开发商,EPC,项目所在国家,规模（容量 GW/GWh）,产品类型,项目金额,中标 / 签约时间,中标新闻链接
中国华能集团 2026 年逆变器框架协议采购（标段一）,中国华能集团有限公司,未披露,中国,1GW,3.125MW 及以上集中式逆变器（直流 1500V，含直流汇流箱）,投标报价 9000 万元,2026 年 2 月 25 日,https://msolar.in-en.com/html/solar-2458212.shtml
南非红沙储能项目,葛洲坝电力,未披露,南非,153MW/612MWh,储能系统,约 5.28 亿元,2026 年 1 月 19 日,http://finance.sina.cn/2026-03-05/detail-inhpxspk3227846.d.html
中国电建 2025-2026 年度储能系统设备框架入围集中采购,中国电力建设集团有限公司,未披露,中国,16GWh,储能系统设备,投标报价 0.528 元 / Wh，总预估约 105 亿元,2026 年 2 月 13 日,https://www.nengyuanquan.com/article/chuneng/36559.html
丹麦、西班牙 2.43GWh 储能系统采购项目,中建德成（河南）实业发展有限公司,未披露,丹麦、西班牙,2.43GWh,储能系统,投标报价 25.3 亿元,2026 年 2 月 13 日,http://finance.sina.cn/2026-03-05/detail-inhpxspk3227846.d.html
中广核新能源 2026 年度光伏逆变器设备框架集采,中广核新能源投资有限公司,未披露,中国,9GW,组串式 300kW 及以上光伏逆变器,未披露,2026 年 3 月 10 日,https://xueqiu.com/2719865677/378896675
瑞士 Delta Capacity 欧洲电网侧储能项目,Delta Capacity（欧洲公用事业级储能开发商）,未披露,瑞士（覆盖欧洲多国）,1GWh,PowerTitan 2.0 液冷储能系统,未披露,2026 年 3 月 5 日,https://caifuhao.eastmoney.com/news/20260309154441082144410
中国电建 2026 年度光伏逆变器框架入围集中采购,中国电力建设集团有限公司,未披露,中国,31GW（8GW 箱逆一体机 + 20GW 大功率组串式逆变器 + 3GW 组串式逆变器）,箱逆一体机、组串式光伏逆变器,未披露,2026 年 3 月 18 日,https://c.m.163.com/news/a/KOFHMAF90519M06G.html
罗马尼亚 ENEVO 集团储能项目,ENEVO 集团（罗马尼亚能源龙头）,ENEVO 集团,罗马尼亚,1GWh（一期 440MWh，二期 560MWh）,PowerTitan 2.0 液冷储能系统,未披露,2026 年 3 月 16 日,https://xueqiu.com/9455724387/379854257
智利 Dune Plus 储能项目,Generadora Metropolitana（智利能源企业）,未披露,智利,509MW/2.036GWh,PowerTitan 储能系统,未披露（项目总投资 6.29 亿美元）,2026 年 3 月,https://xueqiu.com/5709215108/379625282
智利 Zelestra Aurora 光储混合项目,Zelestra,未披露,智利,光伏 220MWdc / 储能 1GWh,模块化逆变器、液冷储能系统,未披露,2026 年 3 月,https://xueqiu.com/5709215108/379625282
中国华能集团 2026 年逆变器框架协议采购（标段二）,中国华能集团有限公司,未披露,中国,6GW,300kW≤功率 < 400kW 组串式逆变器,5.67 亿元,2026 年 3 月 23 日,https://c.m.163.com/news/a/KOFHMAF90519M06G.html
中国华能集团 2026 年逆变器框架协议采购（标段三）,中国华能集团有限公司,未披露,中国,3GW,功率≥400kW 组串式逆变器,2.835 亿元,2026 年 3 月 23 日,https://c.m.163.com/news/a/KOFHMAF90519M06G.html
三峡集团 2026 年光伏逆变器框架集中采购（第一批次）,中国三峡集团有限公司,未披露,中国,3GW,300-400kW 组串式逆变器,未披露,2025 年 12 月 16 日（2026 年交付）,https://smm-netzerosolar.smm.cn/news/103675257
英国 Thorpe Marsh 储能项目,Fidra Energy,H&MV Engineering,英国,4.4GWh,PowerTitan 2.0 构网型液冷储能系统,125 亿元,2026 年 1 月前（2026 年 Q3-Q4 交付）,http://m.toutiao.com/group/7585002089446556194/
埃及 Scatec 光储配套项目,挪威 Scatec 公司、埃及政府,未披露,埃及,3.9-4GWh,光储配套储能系统、逆变器,未披露,2026 年 1 月中旬,http://finance.sina.cn/2026-03-05/detail-inhpxspk3227846.d.html
日本 Hexaenergy 储能项目,Hexaenergy,未披露,日本,600MWh,储能系统,未披露,2026 年 1 月前（2026 年前交付）,https://guba.sina.cn/view_10285_251994.html
亚马逊 AWS 框架储能项目（含 AIDC 电源）,亚马逊 AWS,未披露,全球（含中国）,8.0GWh,储能系统、AIDC 电源,未披露,2026 年 1 月前（2026 年持续交付）,https://guba.sina.cn/view_10285_251994.html
澳洲渠道商光储项目,澳洲渠道商,未披露,澳大利亚,储能 1GWh + 逆变器 800MW,储能系统、光伏逆变器,未披露,2026 年 1 月前（2026 年履约）,https://guba.sina.cn/view_10285_251994.html
